,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,84.397,84.397,84.425,0.027999999999991587,False,0.15149999999999864,0.17949999999999022,1,0.4545324319048434,84.41075000000001,0.013750000000001705,0.014249999999989882,35.714285714296444,0.009571682860767487
MeanVar1,84.5765,84.5765,84.60600000000001,0.02950000000001296,False,0.1487499999999926,0.17825000000000557,1,0.4751161174080956,84.59125,0.01475000000000648,0.01475000000000648,33.89830508473087,0.010426200605288434
MeanVar1,84.75475,84.75475,84.78575,0.0309999999999917,False,0.14850000000001273,0.17950000000000443,1,0.4961208106637731,84.7705,0.015749999999997044,0.015249999999994657,32.258064516137665,0.011373810533671806
MeanVar1,84.93425,84.93425,84.9645,0.030249999999995225,False,0.15099999999999625,0.18124999999999147,1,0.4751733587558432,84.94875,0.014499999999998181,0.015749999999997044,33.05785123967464,0.010596872081779483
MeanVar1,85.1155,85.1155,85.14375,0.028249999999999886,False,0.15375000000000227,0.18200000000000216,1,0.4552840825236004,85.12950000000001,0.014000000000010004,0.014249999999989882,35.398230088495716,0.009580066715384247
MeanVar1,85.2975,85.2975,85.32525,0.0277499999999975,False,0.15200000000000102,0.17974999999999852,1,0.4545321486237371,85.31125,0.013750000000001705,0.013999999999995794,36.036036036039285,0.009504282780050855
MeanVar1,85.47725,85.47725,85.5065,0.02925000000000466,False,0.1490000000000009,0.17825000000000557,1,0.4716345886673415,85.4915,0.014250000000004093,0.015000000000000568,34.18803418802874,0.010266923759041126
MeanVar1,85.6555,85.6555,85.68625,0.030749999999997613,False,0.1490000000000009,0.17974999999999852,1,0.48328080785982974,85.67150000000001,0.016000000000005343,0.01474999999999227,32.52032520325456,0.011025377872432612
MeanVar1,85.83525,85.83525,85.86575,0.030500000000003524,False,0.15024999999999977,0.1807500000000033,1,0.48571575482793017,85.85000000000001,0.01475000000000648,0.015749999999997044,32.78688524589785,0.010967703539211785
MeanVar1,86.016,86.016,86.04475,0.028749999999988063,False,0.1532499999999999,0.18199999999998795,1,0.4632708158288595,86.03025,0.014249999999989882,0.014499999999998181,34.78260869566662,0.009890934166719902
MeanVar1,86.198,86.198,86.22575,0.02775000000001171,False,0.1529999999999916,0.1807500000000033,1,0.4540049800075032,86.212,0.014000000000010004,0.013750000000001705,36.03603603602083,0.00946259031954295
MeanVar1,86.37875,86.37875,86.4075,0.028750000000002274,False,0.1495000000000033,0.17825000000000557,1,0.46412146022411516,86.39275,0.014000000000010004,0.01474999999999227,34.78260869564942,0.009970988746723829
MeanVar1,86.557,86.557,86.58775,0.030749999999997613,False,0.14825000000000443,0.17900000000000205,1,0.48604781789461604,86.57275,0.015749999999997044,0.015000000000000568,32.52032520325456,0.01099799219477821
MeanVar1,86.736,86.736,86.76675,0.030749999999997613,False,0.1495000000000033,0.1802500000000009,1,0.4789767905334432,86.75075,0.01474999999999227,0.016000000000005343,32.52032520325456,0.010912927908451098
MeanVar1,86.91625,86.91625,86.94575,0.02949999999999875,False,0.1524999999999892,0.18199999999998795,1,0.4860144136602862,86.93075,0.014499999999998181,0.015000000000000568,33.8983050847472,0.010535067696102398
MeanVar1,87.09825,87.09825,87.126,0.02775000000001171,False,0.15349999999999397,0.18125000000000568,1,0.45835247167222604,87.11225,0.014000000000010004,0.013750000000001705,36.03603603602083,0.009548540630264033
MeanVar1,87.2795,87.2795,87.30799999999999,0.028499999999993975,False,0.15075000000000216,0.17924999999999613,1,0.4587639768907791,87.29350000000001,0.014000000000010004,0.01449999999998397,35.087719298253035,0.009781444781312418
MeanVar1,87.45875,87.45875,87.48875,0.030000000000001137,False,0.1490000000000009,0.17900000000000205,1,0.48092412724293265,87.474,0.015250000000008868,0.01474999999999227,33.33333333333207,0.010676045136481982
MeanVar1,87.63775,87.63775,87.6685,0.030749999999997613,False,0.1492500000000092,0.18000000000000682,1,0.48237681008303246,87.653,0.015250000000008868,0.015499999999988745,32.52032520325456,0.011052664311488922
MeanVar1,87.81775,87.81775,87.8475,0.029749999999992838,False,0.15149999999999864,0.18124999999999147,1,0.4661227566250199,87.83200000000001,0.014250000000004093,0.015499999999988745,33.613445378159355,0.010315347291061141
MeanVar1,87.999,87.999,88.0275,0.028500000000008185,False,0.1529999999999916,0.18149999999999977,1,0.47751145888568114,88.013,0.014000000000010004,0.014499999999998181,35.087719298235534,0.010095701011316375
MeanVar1,88.1805,88.1805,88.2085,0.028000000000005798,False,0.15174999999999272,0.17974999999999852,1,0.4524728712428986,88.19425,0.013750000000001705,0.014250000000004093,35.71428571427832,0.009515516898654664
MeanVar1,88.36025,88.36025,88.38975,0.02950000000001296,False,0.1489999999999867,0.17849999999999966,1,0.4726326935474232,88.37475,0.014500000000012392,0.015000000000000568,33.89830508473087,0.010360402437147174
MeanVar1,88.53875,88.53875,88.5695,0.030750000000011823,False,0.1490000000000009,0.17975000000001273,1,0.48337181706758936,88.5545,0.015750000000011255,0.015000000000000568,32.52032520323953,0.011049134311056908
MeanVar1,88.7185,88.7185,88.74875,0.030249999999995225,False,0.15075000000000216,0.18099999999999739,1,0.47508904534927726,88.73275,0.014249999999989882,0.016000000000005343,33.05785123967464,0.01066663348899144
MeanVar1,88.8995,88.8995,88.928,0.028499999999993975,False,0.1532499999999999,0.18174999999999386,1,0.46585025128412205,88.9135,0.013999999999995794,0.014499999999998181,35.087719298253035,0.009837629269519773
MeanVar1,89.08125,89.08125,89.1095,0.028249999999999886,False,0.1527499999999975,0.18099999999999739,1,0.46923209965518103,89.0955,0.014250000000004093,0.013999999999995794,35.398230088495716,0.009855169276532644
MeanVar1,89.26225,89.26225,89.29075,0.028500000000008185,False,0.15024999999999977,0.17875000000000796,1,0.4605256310000221,89.276,0.013750000000001705,0.01475000000000648,35.087719298235534,0.009853213623661705
MeanVar1,89.441,89.441,89.47125,0.030249999999995225,False,0.14875000000000682,0.17900000000000205,1,0.48361350092546534,89.4565,0.015500000000002956,0.01474999999999227,33.05785123967464,0.010839994738709554
MeanVar1,89.62,89.62,89.65075,0.030749999999997613,False,0.1495000000000033,0.1802500000000009,1,0.48085103091198994,89.635,0.015000000000000568,0.015749999999997044,32.52032520325456,0.010983829469214583
MeanVar1,89.80025,89.80025,89.82975,0.02949999999999875,False,0.15200000000000102,0.18149999999999977,1,0.46802987642389265,89.8145,0.014249999999989882,0.015250000000008868,33.8983050847472,0.010216336864075552
MeanVar1,89.98175,89.98175,90.01,0.028249999999999886,False,0.15374999999998806,0.18199999999998795,1,0.4710815567024282,89.99575,0.013999999999995794,0.014250000000004093,35.398230088495716,0.009883723256074693
