,Time,Peaks Amplitude,Intervals
MeanVar1,488.81125000000003,0.5891600490750002,0.2007499999999709
MeanVar1,489.012,0.5535393366668652,0.2017500000000041
MeanVar1,489.21375,0.5507284834694646,0.20125000000001592
MeanVar1,489.415,0.5558701923671584,0.20099999999996498
MeanVar1,489.616,0.5607117694779227,0.20075000000002774
MeanVar1,489.81675,0.5591227584184555,0.2007499999999709
MeanVar1,490.0175,0.5565221268407152,0.20075000000002774
MeanVar1,490.21825,0.5509299478461649,0.20100000000002183
MeanVar1,490.41925000000003,0.544601365549644,0.2007499999999709
MeanVar1,490.62,0.5350893609797823,0.20150000000001
MeanVar1,490.8215,0.5469036474863029,0.2004999999999768
MeanVar1,491.022,0.5528633790891839,0.20050000000003365
MeanVar1,491.2225,0.5202555794930122,0.2007499999999709
MeanVar1,491.42325,0.5264426446915647,0.20075000000002774
MeanVar1,491.624,0.5343927168854079,0.2007499999999709
MeanVar1,491.82475,0.5357670989970496,0.20125000000001592
MeanVar1,492.026,0.5410111558640289,0.20249999999998636
MeanVar1,492.2285,0.5881808411168139,0.20199999999999818
MeanVar1,492.4305,0.5560401591361649,0.2017500000000041
MeanVar1,492.63225,0.5587614974899403,0.20125000000001592
MeanVar1,492.8335,0.5570085704885072,0.20125000000001592
MeanVar1,493.03475000000003,0.5459452910540542,0.20099999999996498
MeanVar1,493.23575,0.5593260710106074,0.20100000000002183
MeanVar1,493.43675,0.5825557786693479,0.20099999999996498
MeanVar1,493.63775,0.5442635601269943,0.20075000000002774
MeanVar1,493.8385,0.5074188146150898,0.20075000000002774
MeanVar1,494.03925000000004,0.5123041522597508,0.2007499999999709
MeanVar1,494.24,0.5194088805574464,0.20100000000002183
MeanVar1,494.44100000000003,0.5247047902180366,0.20099999999996498
MeanVar1,494.642,0.527542477755317,0.20075000000002774
MeanVar1,494.84275,0.5283903527230671,0.20224999999999227
MeanVar1,495.045,0.5761945415106401,0.20100000000002183
MeanVar1,495.24600000000004,0.543722584615233,0.20099999999996498
MeanVar1,495.447,0.5450163768763685,0.20075000000002774
MeanVar1,495.64775000000003,0.547560249265266,0.2007499999999709
MeanVar1,495.8485,0.5462937764245119,0.20024999999998272
MeanVar1,496.04875,0.5508178302849084,0.20100000000002183
MeanVar1,496.24975,0.5895972581408486,0.19999999999998863
MeanVar1,496.44975,0.5401166915511917,0.20025000000003956
MeanVar1,496.65000000000003,0.5407866101767224,0.2004999999999768
MeanVar1,496.8505,0.538381192195598,0.20024999999998272
MeanVar1,497.05075,0.534790207114608,0.20050000000003365
MeanVar1,497.25125,0.5265451140716513,0.20099999999996498
MeanVar1,497.45225,0.5559038621428519,0.19974999999999454
MeanVar1,497.652,0.5170585651162543,0.20000000000004547
MeanVar1,497.85200000000003,0.5221867993567524,0.19999999999998863
MeanVar1,498.052,0.5239187128922742,0.19999999999998863
MeanVar1,498.252,0.5228525720454669,0.19999999999998863
MeanVar1,498.452,0.541922222413231,0.20050000000003365
MeanVar1,498.65250000000003,0.5450622276850168,0.19950000000000045
MeanVar1,498.85200000000003,0.5180574527293951,0.19950000000000045
MeanVar1,499.05150000000003,0.5261033200577849,0.19974999999999454
MeanVar1,499.25125,0.5255881415941293,0.19974999999999454
MeanVar1,499.451,0.5289297366592097,0.19999999999998863
MeanVar1,499.651,0.569940333068651,0.19999999999998863
MeanVar1,499.851,0.5444643555533275,0.19950000000000045
MeanVar1,500.0505,0.5290917936300195,0.19925000000000637
MeanVar1,500.24975,0.5360270427650218,0.19974999999999454
MeanVar1,500.4495,0.5407852568506024,0.19925000000000637
MeanVar1,500.64875,0.5451542657215868,0.19950000000000045
MeanVar1,500.84825,0.5673415218032233,0.19999999999998863
MeanVar1,501.04825,0.5635357606426886,0.1987500000000182
MeanVar1,501.247,0.5470116584753242,0.19900000000001228
MeanVar1,501.446,0.5497182775289764,0.19874999999996135
MeanVar1,501.64475,0.5459076480131044,0.19825000000003
MeanVar1,501.843,0.5399700504346716,0.19900000000001228
MeanVar1,502.04200000000003,0.5711071774196819,0.19874999999996135
MeanVar1,502.24075,0.5526593454690251,0.1985000000000241
MeanVar1,502.43925,0.5318135047260437,0.19925000000000637
MeanVar1,502.6385,0.5278551232130095,0.19925000000000637
MeanVar1,502.83775,0.5213626012469377,0.19950000000000045
MeanVar1,503.03725000000003,0.5205720093476087,0.19925000000000637
MeanVar1,503.23650000000004,0.5544552223311203,0.19899999999995543
MeanVar1,503.4355,0.5300384694149172,0.1985000000000241
MeanVar1,503.634,0.5306683810102297,0.1987500000000182
MeanVar1,503.83275000000003,0.5443395683727204,0.19824999999997317
MeanVar1,504.031,0.5583109801386601,0.1985000000000241
MeanVar1,504.22950000000003,0.5581855531856997,0.19849999999996726
MeanVar1,504.428,0.5923252903738498,0.19700000000000273
MeanVar1,504.625,0.5582610078528686,0.1974999999999909
MeanVar1,504.8225,0.533120590552654,0.1987500000000182
MeanVar1,505.02125,0.5297790828041181,0.1987500000000182
MeanVar1,505.22,0.5263612895207763,0.19899999999995543
MeanVar1,505.419,0.525923717397551,0.1987500000000182
MeanVar1,505.61775,0.5700374274960092,0.19825000000003
MeanVar1,505.81600000000003,0.5538795710256074,0.19824999999997317
MeanVar1,506.01425,0.5557603168446386,0.197749999999985
MeanVar1,506.212,0.5567690913165474,0.19675000000000864
MeanVar1,506.40875,0.5500613562905039,0.19675000000000864
MeanVar1,506.6055,0.5354134113593031,0.19825000000003
MeanVar1,506.80375000000004,0.5627018914060019,0.19899999999995543
MeanVar1,507.00275,0.5352301033040121,0.1985000000000241
MeanVar1,507.20125,0.5286284128511167,0.197749999999985
MeanVar1,507.399,0.5467997903223293,0.1974999999999909
MeanVar1,507.5965,0.5611773139674578,0.19675000000000864
MeanVar1,507.79325,0.5560793926492726,0.19700000000000273
MeanVar1,507.99025,0.5797239383934114,0.19700000000000273
MeanVar1,508.18725,0.5378983433508797,0.1987500000000182
MeanVar1,508.386,0.525492870131941,0.19824999999997317
MeanVar1,508.58425,0.5316629060377811,0.19724999999999682
MeanVar1,508.7815,0.5477385069749818,0.19724999999999682
MeanVar1,508.97875,0.5619172201110666,0.19750000000004775
MeanVar1,509.17625000000004,0.590312785663083,0.19574999999997544
MeanVar1,509.372,0.5476104405090403,0.197749999999985
MeanVar1,509.56975,0.5345239100060146,0.19825000000003
MeanVar1,509.76800000000003,0.5327557681863206,0.19724999999999682
MeanVar1,509.96525,0.5425085265447677,0.19700000000000273
MeanVar1,510.16225000000003,0.5622242253377057,0.19724999999999682
MeanVar1,510.3595,0.5973271903380943,0.1947499999999991
